,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Price,mean_price
0,14038,35,2.0,47.981561235175036,30.0,6.0,7,9.0,1969,0.089039719,B,B,33,7976,5,0,11,B,184966.9307298416,213160.07629728882
1,15053,41,3.0,65.68363987232783,45.0,8.0,7,9.0,1978,6.99893e-05,B,B,46,10309,1,1,16,B,300009.4500627274,303643.5637277205
2,4765,53,2.0,44.947952764125006,30.0,0.0,8,12.0,1968,0.049637257,B,B,34,7759,0,1,3,B,220925.90852358093,259938.72912101814
3,5809,58,2.0,53.352981355613345,52.73151204863503,9.0,8,17.0,1977,0.43788524,B,B,23,5735,3,0,5,B,175616.22721724625,172368.8822691777
4,10783,99,1.0,39.649191950029994,23.7761691108976,7.0,11,12.0,1976,0.012338886,B,B,35,5776,1,2,4,B,150226.5316437466,157746.07923116552
5,12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,B,B,35,7715,4,0,6,B,215898.44774214894,400943.0212264
6,14549,154,2.0,62.254113586402504,37.16037741888674,7.0,3,5.0,1960,0.460556389,B,B,20,4386,14,1,5,B,296021.2043771131,253795.6618249983
7,11993,74,2.0,80.31292563185586,37.07123277658077,0.0,14,0.0,1977,0.075778755,B,B,6,1437,3,0,2,B,221244.15666358554,236250.9319182294
8,5172,1,2.0,64.51143730838427,37.07123277658077,1.0,9,17.0,1977,0.007122317,B,B,1,264,0,0,1,B,229102.7959994131,198777.27826904907
9,8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13,17.0,2014,0.075778755,B,B,6,1437,3,0,2,B,95380.22099316985,100961.8108238006
10,15370,28,2.0,46.30490677332586,30.0,6.0,8,9.0,1973,0.118537385,B,B,30,6207,1,1,0,B,204243.55312879704,218163.68236530415
11,12427,31,3.0,68.80885909839964,45.736905639421956,7.0,1,8.0,1959,0.0,B,B,23,3684,2,0,4,B,165534.5414246522,363817.8426951647
12,6452,13,2.0,54.5228049029371,31.75975305618809,1.0,8,12.0,1999,0.090799103,B,B,74,19083,2,5,15,B,229220.37260914012,231706.9899385613
13,2408,57,3.0,68.10273923286483,45.0,8.0,6,12.0,1980,0.13321533300000002,B,B,49,11395,3,3,4,A,252481.9083226248,304023.60027807637
14,10953,27,1.0,53.769097136525275,50.0,1.0,5,4.0,1977,0.072157581,B,B,2,629,1,0,0,A,140647.56593684404,123823.80116567801
15,2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4,9.0,1979,0.037177818,B,B,52,11217,1,1,7,B,89084.32787608178,277434.46382757125
16,2119,27,2.0,49.36064780032354,31.993963547007414,5.0,6,5.0,1983,0.051815435,B,B,5,1227,0,0,0,B,117000.38128669599,166014.05541337078
